Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
9,4;18,94;0;40;43;71;1,6;650;12,43194192377495462794918330308529945554;81
8,9;18,75;0;48;73;75;1,7;639;16,30252100840336134453781512605042016807;76
8,6;15;0;40;39;67;1,8;663;13,26530612244897959183673469387755102041;84,2
7,8;18,2;0;42;83;77;1,6;613;12,80334728033472803347280334728033472803;79,4
9,2;18;0;40;43;72;1,6;661;13,24110671936758893280632411067193675889;84
9,3;18,75;0;50;73;75;1,7;603;15,84158415841584158415841584158415841584;70
9,4;18;0;42;71;76;1,7;632;16,58630665380906460945033751205400192864;80,2
7,2;18,94;0;41;42;70;1,6;576;13,06089743589743589743589743589743589744;84,6
9,4;18;0;35;75;78;1,6;625;17,86030061892130857648099027409372236958;77,6
8,8;15;0;38;41;72;1,7;656;15,35087719298245614035087719298245614035;80,6
9,4;18;0;47;75;78;1,7;655;18,38521400778210116731517509727626459144;78,6
9;15;0;40;40;72;1,7;657;12,22426470588235294117647058823529411765;83,8
8,9;18;0;47;67;79;1,7;638;15,23178807947019867549668874172185430464;80
8,5;18;0;50;75;75;1,7;613;17,55175517551755175517551755175517551755;78,2
9,4;18,75;0;47;76;74;1,7;580;15,39138082673702726473175021987686895339;78
9,4;18,94;0;41;46;69;1,5;645;12,64679313459801264679313459801264679313;80,6
78;18;0;53;77;74;1,7;621;17,91290057518488085456039441248972884141;79,6
9,4;18,94;0;40;43;70;1,5;627;13,2850241545893719806763285024154589372;83,6
9,2;18,75;0;48;67;77;1,7;633;11,27694859038142620232172470978441127695;84,4
9;18,94;18,94;40;40;71;1,6;651;13,15789473684210526315789473684210526316;86
9;18,94;0;39;35;71;1,6;640;9,48406676783004552352048558421851289833;80
9,2;18,75;0;42;59;77;1,7;640;13,57429718875502008032128514056224899598;76,2
8,9;18;0;43;71;75;1,7;620;12,7340823970037453183520599250936329588;80,8
9;15;0;39;40;72;1,6;605;10,42204995693367786391042204995693367786;84,2
8,6;18;0;51;75;78;1,7;601;15,66604127579737335834896810506566604128;79,8
7,7;18;0;43;64;69;1,7;559;19,15269196822594880847308031774051191527;79
7,7;15;0;36;40;70;1,6;609;17,00934579439252336448598130841121495327;80
8,9;18,75;0;41;63;75;1,7;633;10,08403361344537815126050420168067226891;83
7,3;18,75;0;46;70;75;1,7;564;15,48387096774193548387096774193548387097;79,6
8,8;18,94;0;40;43;72;,2;650;13,12252964426877470355731225296442687747;84,6
9,3;15;0;41;46;69;1,6;663;14,63654223968565815324165029469548133595;81,6
7,2;18;0;49;77;74;1,7;620;17,84482758620689655172413793103448275862;79,8
8,8;18;0;49;75;74;1,7;628;14,78672985781990521327014218009478672986;83,2
8,9;18;0;40;63;82;1,7;632;13,90243902439024390243902439024390243902;80,4
8,6;18;0;43;71;79;1,7;623;13,55932203389830508474576271186440677966;85
9;15;0;40;41;71;1,6;645;15,80357142857142857142857142857142857143;80,6
8,9;18;0;51;75;75;1,7;610;14,69838572642310960067969413763806287171;83,2
9,1;18,75;0;47;66;75;1,7;543;15,07177033492822966507177033492822966507;80
9,2;18,94;0;40;40;72;1,8;577;11,11945905334335086401202103681442524418;83,6
7;18,3;0;45;75;78;1,6;624;20,05899705014749262536873156342182890855;77,6
9,2;18;0;37;55;74;1,4;626;8,08823529411764705882352941176470588235;91,4
9;18;0;41;75;75;1,7;630;13,76221498371335504885993485342019543974;82,6
8,6;18;0;42;56;77;1,7;628;4,77047704770477047704770477047704770477;91,6
8,9;18,75;0;40;57;74;1,8;632;5,71870170015455950540958268933539412674;90,4
7,2;18,94;0;40;42;68;1,6;622;5,4954954954954954954954954954954954955;91
9,1;18,75;0;46;65;78;1,7;643;15,27896995708154506437768240343347639485;75
8,7;18;0;39;54;77;1,7;629;7,02070207020702070207020702070207020702;89,4
9,2;18;0;48;68;76;1,7;629;10,21759697256385998107852412488174077578;85,8
9;18;0;45;65;77;1,7;635;10;87
9,2;15;0;39;37;71;1,6;648;15,25735294117647058823529411764705882353;81,6
9,3;18,94;0;40;40;72;1,6;593;14,73214285714285714285714285714285714286;80,6
9;15;0;36;44;71;1,6;665;15,86582048957388939256572982774252039891;81,8
8,9;15;0;40;43;70;16;645;15,10204081632653061224489795918367346939;80
9,4;18,75;0;44;68;77;1,7;632;13,26013513513513513513513513513513513514;82
9;18,94;0;40;41;71;1,6;661;9,609375;86
9,2;18,75;0;45;69;77;1,7;629;13,80655226209048361934477379095163806552;83,6
8,8;18,75;0;48;80;75;1,7;608;17,55725190839694656488549618320610687023;79
9;18,75;0;49;79;77;1,7;621;16,11374407582938388625592417061611374408;78
8,5;18,75;0;48;67;77;1,7;571;15,07177033492822966507177033492822966507;79
9,1;18,94;0;40;40;72;1,8;603;11,7241379310344827586206896551724137931;84
9,3;15;0;40;43;68;1,8;656;10,84437086092715231788079470198675496689;84,4
9,4;18;0;46;70;70;1,8;613;16,8449197860962566844919786096256684492;80,8
9,4;18,94;0;40;42;71;1,6;635;12,30125523012552301255230125523012552301;84
9,3;18,75;0;46;75;76;1,7;608;14,76345840130505709624796084828711256117;79
9,2;18,75;0;51;73;76;1,7;615;16,41666666666666666666666666666666666667;79,6
9,2;18,94;0;40;40;71;1,6;594;10,86780210867802108678021086780210867802;82
9,4;18,75;0;50;78;75;1,7;612;15,46052631578947368421052631578947368421;79,6
8,4;18,94;0;41;42;71;1,6;653;13,10043668122270742358078602620087336245;81
8,7;18,94;0;41;44;72;1,8;654;12,39870340356564019448946515397082658023;83,2
8,6;18;0;45;70;70;1,7;602;13,10592459605026929982046678635547576302;81
1,2;18;0;44;60;81;1,2;633;13,54166666666666666666666666666666666667;79,4
8,1;18;0;52;38;75;1,2;653;8,09031044214487300094073377234242709313;87,6
9,1;15;0;54;42;73;1,5;636;12,08791208791208791208791208791208791209;83,6
9,2;18;0;44;71;80;1,4;631;10,1374570446735395189003436426116838488;84,8
9,2;15;0;54;42;72;1,5;648;14,16819012797074954296160877513711151737;81
9,4;18;0;43;72;79;1,4;633;9,44333996023856858846918489065606361829;86,4
8,1;15;0;49;49;73;1,5;653;15,94650205761316872427983539094650205761;76,4
8,7;15;0;43;70;78;1,2;665;14,76323119777158774373259052924791086351;83,6
8,7;15;0;51;46;73;1,2;714;16,51560926485397784491440080563947633434;81,4
8,1;15;0;45;74;81;1,4;632;15,71428571428571428571428571428571428571;77,6
